模型,灵敏度 (Sensitivity),特异性 (Specificity),AUC,F1max,精确度 (Precision),召回率 (Recall)
Densenet121,0.823864,0.78534,0.902918,0.825974,0.760766,0.903409
EfficientNetB3,0.818182,0.811518,0.889859,0.8125,0.8125,0.8125
InceptionV3,0.818182,0.801047,0.876562,0.824147,0.765854,0.892045
ResNet50,0.840909,0.759162,0.893131,0.816568,0.851852,0.784091
CoAtNet0,0.897727,0.764398,0.92743,0.857143,0.845304,0.869318
MaxViTTiny,0.914773,0.816754,0.928085,0.869565,0.833333,0.909091
CrossViTSmall,0.926136,0.801047,0.915829,0.867021,0.815,0.926136
DeiTSmall,0.897727,0.806283,0.921778,0.854749,0.840659,0.869318
SwinTiny,0.897727,0.795812,0.914847,0.854054,0.814433,0.897727
ViTSmall,0.886364,0.774869,0.913776,0.838889,0.820652,0.857955
CLIPViTB16,0.840909,0.832461,0.914996,0.83965,0.862275,0.818182
SigLIPBase384,0.903409,0.801047,0.930227,0.86351,0.846995,0.880682
